productid,category,name,unitprice($),unitcost($),averagequalityrating,qualityrating
2000,electronics,signal,969.31,810.5,2,good
2001,electronics,boost,412.35,398.56,1,good
2002,office,family,866,514.33,3,very good
2003,electronics,training,385.18,363.04,5,excellent
2004,office,where,927.25,716.46,4,excellent
2005,office,huge,428.78,268.13,3,very good
2006,office,class,198,179.22,4,excellent
2007,clothing,over,583.39,372.27,2,good
2008,electronics,skin,66.59,40.64,5,excellent
2009,office,raise,66.31,41.97,3,very good
2010,electronics,themselves,77.84,9.36,2,good
2011,electronics,religious,409.74,367.92,2,good
2012,clothing,artist,623.19,94.54,2,good
2013,office,cultural,935.36,64.32,1,good
2014,clothing,eat,246.3,4.46,2,good
2015,office,itself,674.97,496.82,5,excellent
2016,home,he,323.02,169.08,3,very good
2017,electronics,feeling,463.7,378.29,1,good
2018,electronics,nature,542.26,541.71,1,good
2019,home,history,933.93,205.43,4,excellent
2020,electronics,share,375.83,294.01,4,excellent
2021,clothing,skill,835.41,440.63,1,good
2022,home,economy,671.18,632.73,5,excellent
2023,home,yeah,939.54,724.03,2,good
2024,clothing,paper,124.27,0.33,1,good
2025,electronics,assume,279.62,8.8,5,excellent
2026,clothing,use,211.56,126.62,2,good
2027,home,purpose,258.61,5.73,5,excellent
2028,electronics,take,637.94,45.08,1,good
2029,home,yourself,13.51,1.15,2,good
2030,clothing,first,169.97,106.97,5,excellent
2031,office,develop,565.3,475.68,1,good
2032,electronics,there,945.6,203.48,1,good
2033,clothing,argue,836.25,32.95,5,excellent
2034,clothing,feel,136.17,21.02,1,good
2035,home,according,899.99,491.92,3,very good
2036,electronics,candidate,217.98,25.25,1,good
2037,clothing,meeting,360.14,118.88,3,very good
2038,office,soon,926.51,314.59,5,excellent
2039,clothing,need,976.44,848.45,4,excellent
2040,clothing,determine,34.54,6.54,2,good
2041,home,assume,804.21,310.2,3,very good
2042,clothing,lawyer,167.61,133.21,2,good
2043,electronics,practice,873.45,607.44,5,excellent
2044,office,society,207.58,43.63,4,excellent
2045,office,next,312.14,298.1,4,excellent
2046,clothing,worry,33.43,7.35,3,very good
2047,clothing,hair,334.98,268.46,3,very good
2048,electronics,candidate,357.63,216.14,3,very good
2049,office,easy,939.84,587.31,4,excellent
2050,electronics,young,186.78,168.32,4,excellent
2051,home,century,117.32,106.08,5,excellent
2052,office,year,731.26,393.55,1,good
2053,home,ground,610.15,160.69,1,good
2054,electronics,above,900.51,891.59,2,good
2055,clothing,politics,53.94,19.49,3,very good
2056,office,about,524.72,168.76,5,excellent
2057,clothing,identify,436.98,77.25,3,very good
2058,home,wear,666.75,658.84,3,very good
2059,electronics,clear,512.05,424.97,1,good
2060,office,term,408.38,403.34,1,good
2061,home,quite,199.92,113.57,5,excellent
2062,office,receive,619.36,475.27,5,excellent
2063,home,good,552.46,286.01,2,good
2064,electronics,stop,294.04,49.17,1,good
2065,office,animal,470.34,137.42,4,excellent
2066,office,occur,516.06,58.95,5,excellent
2067,clothing,remain,290.95,185.39,3,very good
2068,home,read,820.24,744.19,1,good
2069,clothing,garden,232.39,99.95,5,excellent
2070,clothing,about,34.18,26.11,3,very good
2071,clothing,success,615.16,84.7,3,very good
2072,electronics,become,420.3,21.78,3,very good
2073,clothing,executive,499.43,43.61,1,good
2074,clothing,strong,659.5,567.79,1,good
2075,electronics,letter,780.64,768.12,4,excellent
2076,clothing,affect,806.07,763.35,5,excellent
2077,office,ball,561.83,455.66,4,excellent
2078,electronics,film,142.01,38.72,5,excellent
2079,office,who,950.54,391.16,4,excellent
2080,office,doctor,832.26,749.66,5,excellent
2081,office,light,746.22,78.83,3,very good
2082,office,figure,266.6,223.21,4,excellent
2083,clothing,cut,768.16,250.09,3,very good
2084,office,stuff,281.85,48.92,5,excellent
2085,electronics,officer,242.15,238.33,1,good
2086,home,of,894.1,273.49,2,good
2087,electronics,rather,159.32,52.8,2,good
2088,office,evening,709.35,454.84,2,good
2089,electronics,action,413.52,52.35,5,excellent
2090,office,staff,71.64,64.36,5,excellent
2091,office,mrs,905.79,779.79,1,good
2092,electronics,add,482.21,105.57,5,excellent
2093,home,real,755.94,153.02,2,good
2094,office,fight,493.35,166.75,1,good
2095,home,seem,490.79,291.28,2,good
2096,office,discuss,672.18,90,5,excellent
2097,office,recent,842.1,394.67,1,good
2098,clothing,trouble,907.86,381.82,4,excellent
2099,electronics,several,646.32,72.77,3,very good
