transactionid,saledate,customerid,productid,storeid,campaignid,saleamount($),transactiontimeminutes
1,1/9/2025,1020,2023,401,0,643.02,29
2,7/10/2024,1034,2091,404,2,529.24,8
3,3/22/2025,1087,2035,403,3,4313.72,8
5,4/21/2025,1049,2005,402,0,1739.64,18
6,10/30/2024,1093,2054,402,0,1270.12,13
7,2/20/2025,1005,2097,402,0,644.45,17
8,10/5/2024,1054,2072,403,3,1833.37,5
9,11/22/2024,1063,2068,403,3,828.83,4
10,8/30/2024,1130,2096,401,1,1594.55,11
11,11/11/2024,1005,2059,403,0,273.38,23
12,4/21/2025,1196,2014,403,3,0,10
13,2/16/2025,1128,2064,401,2,1039.94,4
14,8/22/2024,1041,2099,401,3,1861.74,27
15,4/19/2025,1078,2035,401,3,4900.93,12
16,12/11/2024,1032,2021,403,3,1861.38,7
17,3/2/2025,1182,2040,404,3,41.46,21
18,10/14/2024,1058,2000,401,0,1815.57,22
19,4/12/2025,1071,2091,402,3,2628.38,5
20,11/7/2024,1005,2052,404,0,1969.12,30
21,7/12/2024,1086,2013,402,3,1325.7,29
23,5/21/2025,1060,2091,404,3,1240.87,6
24,6/1/2024,1116,2097,404,2,763.17,14
25,2/22/2025,1089,2039,404,1,2785.23,21
26,4/9/2025,1066,2030,404,1,127.5,7
27,7/5/2024,1144,2033,402,2,821.78,2
28,1/24/2025,1080,2009,401,0,39.84,25
29,9/17/2024,1017,2047,403,2,1975.1,4
30,1/16/2025,1020,2013,402,0,1199.52,19
31,9/23/2024,1089,2041,404,0,2406.09,8
32,9/21/2024,1116,2033,402,3,268.15,6
33,5/13/2025,1038,2047,402,0,1803.01,7
34,3/19/2025,1091,2035,401,3,3872.65,19
36,5/8/2025,1188,2034,402,0,125.51,7
38,4/13/2025,1071,2065,404,2,274.92,8
39,5/22/2025,1020,2039,404,2,4929.06,8
40,7/19/2024,1048,2079,401,1,814.88,7
41,1/21/2025,1080,2015,403,3,1409.56,26
42,12/15/2024,1005,2022,403,0,459.86,28
43,3/15/2025,1082,2056,402,1,603.38,23
44,1/21/2025,1023,2096,402,1,337.34,12
45,6/21/2024,1156,2009,404,1,63.76,18
46,11/5/2024,1034,2098,401,1,1918.03,28
47,12/7/2024,1071,2015,404,3,1976.39,5
48,12/26/2024,1113,2092,404,3,1500.13,16
49,11/26/2024,1063,2035,404,2,3710.95,25
50,9/5/2024,1138,2023,402,1,789.03,22
51,11/7/2024,1106,2079,404,0,3945.18,12
52,10/30/2024,1089,2079,404,1,1728.21,14
53,11/29/2024,1171,2051,402,1,1091.54,11
54,4/29/2025,1169,2079,402,1,2205.97,22
55,8/27/2024,1194,2035,404,0,3870.61,26
56,6/22/2024,1057,2099,401,1,89.74,17
57,8/3/2024,1066,2027,404,2,1234.13,26
58,2/28/2025,1116,2013,401,3,3717.57,17
59,7/3/2024,1160,2041,401,0,2427.7,11
60,10/26/2024,1087,2079,404,2,4229.18,10
61,2/9/2025,1187,2083,403,3,1660.18,21
62,12/25/2024,1062,2011,403,1,1161.21,9
63,1/23/2025,1126,2023,404,2,4461.44,25
64,2/7/2025,1002,2024,401,3,1528.42,20
65,2/2/2025,1125,2002,401,3,647.1,14
66,12/21/2024,1135,2070,403,3,45.2,10
